level,levelName,vName,definition,reference
4,Object-Related Processes,Store gas,Stores or contains gas.,
4,Object-Related Processes,Store vehicles,Stores vehicles.,
4,Object-Related Processes,Store wastewater,Stores or contains wastewater.,
4,Object-Related Processes,Store water,Stores or contains water.,
4,Object-Related Processes,Store wholesale goods,Affords wholesale goods to be stored before being sold to retailers and/or customers.,
4,Object-Related Processes,Support access to employment,Affords access to employment.,
4,Object-Related Processes,Support air filtration,Affords air filtration.,
4,Object-Related Processes,Support excess water storage,Affords excess water to be stored.,
4,Object-Related Processes,Support mental health,"Affords blue/green mental health benefits, as well as physical fitness that has a direct impact on mental health. ",
4,Object-Related Processes,Support microclimate regulation,Affords microclimate regulation by reducing urban heat effect.,
4,Object-Related Processes,Support nutrient cycles,Affords and supports nutrient cycles.,
4,Object-Related Processes,Support physical health and fitness,Affords physical health and fitness.,
4,Object-Related Processes,Support species habitat,Affords and supports species habitat.,
4,Object-Related Processes,Support water purification,Affords water purification.,
4,Object-Related Processes,Survey buildings,Affords buildings and properties to be surveyed and evaluated for commercial and safety purposes.,
4,Object-Related Processes,Transmit electricity,Affords the transmission of electricity.,
4,Object-Related Processes,Transmit gas,Affords the transmission of gas.,
4,Object-Related Processes,Transmit money,"Affords money to be wired, granted via loans, or debt to be collected.                                        ",
4,Object-Related Processes,Transmit telecommunications,Affords telecommunication transmission.,
4,Object-Related Processes,Transport waste and recycling,Affords transportation of waste and recycling to their sorting/disposal site.,
4,Object-Related Processes,Transport wastewater,Affords transportation of wastewater.,
4,Object-Related Processes,Transport water,Affords transportation of water.,
4,Object-Related Processes,Treat wastewater,Affords wastewater to be treated in order for it to be safely released into the environment.,
4,Object-Related Processes,Treat water,Affords water to be treated in order for it to be safely consumed or released into the environment.,
4,Object-Related Processes,Undertake legal proceedings,"Affords legal proceedings (e.g., court proceedings).",
4,Object-Related Processes,Undertake research,Affords research to be undertaken.,
5,Physical Objects,Absorption towers,Includes industrial absorption towers to retain impurities.,
5,Physical Objects,Accountancy firms,"Includes companies providing accounting, tax consultancy and/or auditing services.",
5,Physical Objects,Advertising,"Includes companies providing advertising, marketing, graphic design or public relations services.",
5,Physical Objects,Agriculture,"Includes food production and horticulture, such as agriculture farms (including dairy and livestock) , bee keeping, greenhouses, orchards, tree/plant nurseries and allotments/community gardens.",
5,Physical Objects,Air bases,Includes aerodrome sites used for military aircraft.,
5,Physical Objects,Airplanes and helicopters,Includes the mode of transport itself.,
5,Physical Objects,Airports (major),"Includes aerodrome site, terminals (which would include passenger facilities), and transport infrastructure (e.g., runways and taxiways).",
5,Physical Objects,Airports (minor),Includes aerodrome site and transport infrastructure but does not include passenger facilities. ,
5,Physical Objects,Ambulance stations,"Includes facilities to store and maintain emergency vehicles, medical equipment, as well as facilities for staff.",
5,Physical Objects,Animal care,"Includes animal boarding, pet retail, and animal trades and services such as dog walking or grooming services. ",
5,Physical Objects,Animal shelters,Includes facilities that provide animal shelter and welfare.,
5,Physical Objects,Apparel retail,Includes retailers specialised mainly in apparel and accessorises.,
5,Physical Objects,Apparel services,"Includes clothing maintenance services such as dry cleaners, laundrettes, tailors and seamstresses, and clothing hire (e.g., for wedding or costume apparel).",
5,Physical Objects,Aquaculture,Includes food production from aquatic animals or the cultivation of aquatic plants for food.,
5,Physical Objects,Aquariums,"Includes establishments which maintain a collection of marine animals, typically in aquariums for study, conservation, or display to the public.",
5,Physical Objects,Aqueducts and viaducts,"Includes structures for carrying water across land, or a bridge that carries a railway or road over a valley. They are usually held up by many arches.",
5,Physical Objects,Armed forces barracks,Includes buildings where military personnel live.,
5,Physical Objects,Armed forces offices,Includes military reserves and military administration offices.,
5,Physical Objects,Armed forces training grounds,Includes land owned by the government for training the military.,
5,Physical Objects,Assisted living (health),"Includes care homes, nursing homes, supported housing for medical care, as well as medical rehabilitation services.",
5,Physical Objects,Assisted living (social),Includes social housing for homelessness or other social support needs.,
5,Physical Objects,ATMs,Includes machines for dispensing cash and other banking services.,
5,Physical Objects,Attractions,"Includes arcades, bowling alleys, escape rooms, multiplexes, trampoline parks, motor sports, visitor centres etc.",
5,Physical Objects,Auction houses,"Includes retailers who conduct auctions on furnishings, collectors' items, art and valuables, land and real estate, vehicles, etc.",
5,Physical Objects,Automotive retail,"Includes auto dealers and retailers of auto accessories, motorcycles & parts, automotive glass and automotive equipment & parts. Excludes gas stations as this is included in 'Vehicle maintenance services' node.",
5,Physical Objects,Bank headquarters,Includes offices of bank headquarters. ,
5,Physical Objects,Banks,"Includes bank branches, building societies and credit unions.",
5,Physical Objects,"Barriers, gates, and fences","Includes bollards, barriers, walls, height restrictions and any other type of barrier.",
5,Physical Objects,Bars and nightclubs,"Includes bars, nightclubs, student unions, pool hall, cabaret clubs etc.",
5,Physical Objects,Beaches,Includes beaches. ,
5,Physical Objects,Beauty services,"Includes hairdressers, barbers, nail technicians, facial treatments, make-up artists, tattooing and piercing studios.",
5,Physical Objects,Bicycles,Includes the mode of transport itself.,
5,Physical Objects,Bins,Includes public trash bins and recycling bins.,
5,Physical Objects,Blood banks,Includes venues where the public can donate blood for medical purposes.,
5,Physical Objects,Boats,Includes the mode of transport itself.,
5,Physical Objects,Botanical gardens,Includes establishments where plants are grown for scientific study and display to the public.,
5,Physical Objects,Bridges,"Includes structures carrying a road, path, railway, etc. across a river, road, or other obstacle.",
5,Physical Objects,Broadband provider offices,"Includes organisations that provide services for accessing or using telecommunications, aimed at large-scale operations (e.g., customer service, IT support) and not customer-facing stores.",
5,Physical Objects,Broadcasting,"Includes owners and operators of television or radio broadcasting systems, including programming. ",
5,Physical Objects,Brownfield sites,"Includes previously developed land that is not currently in use, including railway land.",
5,Physical Objects,Bus stations,Includes bus stations used for public transport with facilities for passengers. ,
5,Physical Objects,Bus stops,"Includes designated bus stops for public transport, not necessarily with a dedicated shelter.",
5,Physical Objects,Buses and trams,Includes the mode of transport itself.,
5,Physical Objects,Business services,"Includes business support services such as print and copy shops, meeting and training spaces, chambers for business and commerce etc.",
5,Physical Objects,Cafes,Includes cafes and coffee shops selling light refreshments.,
5,Physical Objects,Camping grounds,"Includes official camp or caravan sites with access to sanitation facilities, water and electricity/gas.",
5,Physical Objects,Canals,Includes artificial waterways.,
5,Physical Objects,Career and employment support services,"Includes employment and recruitment agencies, job centres and career advice services. ",
5,Physical Objects,Casinos and gaming,"Includes companies providing lottery and betting services, bingo halls and casinos.",
5,Physical Objects,Cemeteries,Includes large burial grounds.,
5,Physical Objects,Charity organisations,"Includes non-profit organizations such as NGOs, salvation army, regeneration programmes etc.",
5,Physical Objects,Charity shops,Includes retailers selling second-hand/donated goods for charity.,
5,Physical Objects,Children's clubs,"Includes before and after school clubs, social clubs and youth organisations.",
5,Physical Objects,Cinemas,Includes theatres where films are shown for public entertainment.,
5,Physical Objects,Citizens Advice Bureaus,"Includes an independent charity where the public can obtain free, confidential information and advice on an extensive range of civil, consumer, and legal matters in the UK.",
5,Physical Objects,Common green areas,"Includes publicly accessible greenspaces, such as commons and gardens, forests and woodland areas. Does not include official parks.",
5,Physical Objects,Community centres,Includes multi-purpose buildings and town halls where people from the local community can meet for a wide range of events.,
5,Physical Objects,Computer and electronics retail and services,"Includes retailers selling or repairing consumer electronics, computers, video and related products. ",
5,Physical Objects,Conference and exhibition centres (animal racing),Includes large buildings designed to hold large animal racing or exhibition events.,
5,Physical Objects,Conference and exhibition centres (general),"Includes large multi-purpose buildings such as sports stadiums and arenas, conference centres, exhibition centres, events venues and ice rinks etc.",
5,Physical Objects,Construction and engineering,"Includes civil engineering companies, homebuilding, builders and large-scale contractors. ",
5,Physical Objects,Consumer finance,"Includes personal credit, credit cards, lease financing, travel-related money services and pawnshops. ",
5,Physical Objects,Council offices,Includes local government administrative buildings.,
5,Physical Objects,Couriers,Includes companies that transfer commercial packages as well as sorting facilities with customer-facing pick-up points.,
5,Physical Objects,Courthouses,Includes buildings in which a judicial court is held.,
5,Physical Objects,Coworking office spaces,Includes office spaces for renting shared areas and facilities.,
5,Physical Objects,Creative spaces,"Includes dance halls, art studios, cooking classes, recording studios, pottery studios, language schools, conservatoires etc.",
5,Physical Objects,Crossings,"Includes any form of pedestrian, cycle, road and rail crossings.",
5,Physical Objects,Day centres,Includes places providing care and recreational facilities for adults who cannot be fully independent.,
5,Physical Objects,Death-care services,"Includes funeral directors, crematoriums, morgues, etc.",
5,Physical Objects,Dental and orthodontal practices,"Includes any practice specialising in oral healthcare, including dental hospitals.",
5,Physical Objects,Dining and catering services,Includes companies providing food catering as well as mobile catering services.,
5,Physical Objects,Diplomatic buildings,Includes diplomatic and embassy buildings that are public facing. ,
5,Physical Objects,Distribution centres,"Includes warehouses, distribution centres, depots and sorting offices which do not have a customer-facing pickup point.",
5,Physical Objects,Driving schools,Includes driving schools and test centres.,
5,Physical Objects,Eateries,"Includes sit-in hospitality venues such as restaurants, pubs, delicatessens and fast food chains. ",
5,Physical Objects,Electricity provider offices,"Includes organisations that provide services for accessing or using electricity, that perform administrative activities but are not open to the public.",
5,Physical Objects,Emergency vehicles,Includes the mode of transport itself.,
5,Physical Objects,Environmental consulting and quantity surveying firms,Includes environmental consulting companies and surveying companies.,
5,Physical Objects,Environmental regulators,Includes national environmental regulation companies and environmental managers.,
5,Physical Objects,EV charging stations,Includes electric vehicle charging points.,
5,Physical Objects,Events management,Includes companies that provide festival and events management as well as ticket sale offices.,
5,Physical Objects,Exterior building trades,"Includes roofers, scaffolders, demolition companies and stonemason.",
5,Physical Objects,Ferry terminals,Includes ferry public transport hubs.,
5,Physical Objects,Financial advisors,"Includes professionals providing financial advice, financial services and investment management.",
5,Physical Objects,Fire stations,Includes buildings for fire brigade personnel and equipment.,
5,Physical Objects,Fishing clubs,"Includes fishing clubs with members building, usually with surrounding green-blue permeable space and a fish farm.",
5,Physical Objects,Food banks,Includes places that provide stocked food free of charge for people in need.,
5,Physical Objects,Furnishing retail,"Includes furniture, housewares, major appliances, etc.",
5,Physical Objects,Furnishing services,"Includes interior designers, upholstery, furniture repair, framers. ",
5,Physical Objects,Gas pipelines,Includes pipes which transport gas.,
5,Physical Objects,Gas provider offices,Includes organisations that provide services for accessing or using gas and perform administrative activities but are not open to the public.,
5,Physical Objects,Gas storage tanks,Includes tanks which store gas.,
5,Physical Objects,Gas terminals,Includes gas substations and terminals.,
5,Physical Objects,Grasslands and meadows,"Includes grassland, meadows and shrub land. ",
5,Physical Objects,Harbours,Includes industrial sites at ports.,
5,Physical Objects,Healthcare (physiotherapy),"Includes podiatrists, physiotherapy, massage services, chiropractors etc.",
5,Physical Objects,Healthcare (specialist),"Includes plastic and cosmetic surgery, dermatology, naturopathy, acupuncture, aromatherapy services and healthcare retailers.",
5,Physical Objects,Healthcare (homecare),Includes homecare support and offices for homecare personnel.,
5,Physical Objects,Helipads,Includes the mode of transport itself.,
5,Physical Objects,Higher education,Includes universities and colleges.,
5,Physical Objects,Historic attractions,Includes historic attractions such as castles that are paid attractions not otherwise open to the public.,
5,Physical Objects,Historic points of interest,"Includes historic points of interest which are generally unmanned and open to the public such as historic lighthouses, memorials, ruins and archaeological sites, fortifications etc.",
5,Physical Objects,Home and outdoor maintenance retail,Includes home and garden improvement retail stores as well as household and cleaning stores.,
5,Physical Objects,Home and outdoor maintenance services,"Includes cleaning services, septic tank pumping services, gardeners, public park maintenance offices, pest control, tool equipment hire etc.",
5,Physical Objects,Homeless shelters,Includes dorm-style shared temporary night accommodation for homeless people.,
5,Physical Objects,Hospitals ,"Includes hospitals, hospital administration offices, university hospitals and outpatient services. Does not include dental hospitals.",
5,Physical Objects,Hotels,"Includes self-catering accommodation, B&B, hotels with and without restaurants, and tourist hostels.",
5,Physical Objects,ICT cables and wireless communication modes,"Includes radio, optical, sonic and electromagnetic wireless communication modes.",
5,Physical Objects,Independent or renewable power sources,"Includes intermittent renewables, electricity generators, geothermal energy, small and sustainable energy sources etc.",
5,Physical Objects,Insurance provider offices,"Includes companies that provide insurance that are not customer-facing e.g., buildings insurance, content insurance, car insurance, health insurance etc. ",
5,Physical Objects,Integrated waste facilities,Includes waste endpoint sites where waste is sorted with integrated facilities such as recycling activities and power generation activities.,
5,Physical Objects,Interior building trades,"Includes trades such as joiners, painters, decorators, glaziers.",
5,Physical Objects,Internet cafes,Includes cafes with computer rental facilities.,
5,Physical Objects,IT software and services,"Includes data processing services, data centres, services and infrastructure for internet industry, and software development companies.",
5,Physical Objects,Lakes and ponds,Includes bodies of water surrounded by land.,
5,Physical Objects,Landfills and endpoint waste sites,Includes places where collected waste is taken to get disposed.,
5,Physical Objects,Learned societies,"Includes organisations that promote an academic discipline, profession, or a group of related disciplines.",
5,Physical Objects,Legal services,"Includes lawyers, public prosecutors, legal aid, etc.",
5,Physical Objects,Libraries and archives,Includes libraries and archives for public access.,
5,Physical Objects,Lifeboat stations,"Includes places where lifeboats are housed, and rescue staff are based.",
5,Physical Objects,Locksmiths and cobblers,"Includes trades such as key-cutting, shoe repair, shoe shiners etc.",
5,Physical Objects,Lorries,Includes the mode of transport itself.,
5,Physical Objects,Maintenance vehicles,"Includes the mode of transport itself, used to collect rubbish, grit roads etc.",
5,Physical Objects,Manufacturing (consumer discretionary),"Includes manufacturers of automobiles and components, consumer durables and apparel.",
5,Physical Objects,Manufacturing (consumer staples),"Includes manufacturers of non-durable household products, personal and beauty products, cigarettes & tobacco. Includes distilleries.",
5,Physical Objects,Manufacturing (energy),Includes manufacturers of oil and gas equipment.,
5,Physical Objects,Manufacturing (healthcare),Includes manufacturers of healthcare equipment and supplies.,
5,Physical Objects,Manufacturing (industrials),"Includes manufacturers of  aerospace and defence equipment, building components and equipment, power-generating equipment and other heavy electrical equipment, construction equipment, agricultural machinery, and industrial machinery.",
5,Physical Objects,Manufacturing (IT hardware),"Includes manufacturers of communication equipment and products, phones, personal computers, servers, data storage components, electronic equipment, electronic components, semiconductor equipment and related products.",
5,Physical Objects,Manufacturing (materials),"Includes manufacturers of paper and forest products, metals and mining.",
5,Physical Objects,Marinas,Includes docks and boatyards for private storage and use.,
5,Physical Objects,Medical laboratories,Includes laboratories which perform medical tests such as pathology tests.,
5,Physical Objects,Medical practices,"Includes general medical practices, general practitioners, walk-in clinics and private healthcare clinics.",
5,Physical Objects,Mental health services,Includes mental health practices and facilities (both public and private).,
5,Physical Objects,Multi-line retail,Includes department stores and general merchandise stores.,
5,Physical Objects,Museums and art galleries,"Includes museums, galleries and science centres for public viewing.",
5,Physical Objects,Music and theatre venues,Includes venues for live musical and/or cultural performances.,
5,Physical Objects,National government buildings,"Includes government buildings such as transport agencies, defence agencies, Standards agency, QUANGO etc.",
5,Physical Objects,Nature reserves,"Includes land which is managed to preserve its flora, fauna and physical features.",
5,Physical Objects,Nurseries,"Includes nurseries, kindergartens and young childcare facilities.",
5,Physical Objects,Observatories,"Includes scientific centres with an astronomical telescope, which conduct research and are open periodically for public engagement.",
5,Physical Objects,Offices (other),"Includes underspecified building and commerce, such as administrative offices, business parks, and company offices.",
5,Physical Objects,Off-licenses,Includes retailers that sell alcoholic drinks and tobacco stores.,
5,Physical Objects,Opticians and ophthalmologists,Includes practices specialising in eye health care and vision.,
5,Physical Objects,Other communal resources,"Includes small community-driven areas where items can be exchanged for free e.g., mobile libraries.",
5,Physical Objects,Other discretionary goods retail,"Includes jewellery stores, toy stores, office supply stores, arts and crafts, souvenir shops etc.",
5,Physical Objects,Other discretionary services,"Includes spiritualists', and social activities such as escort services, dating services etc. Excludes car valet, pet grooming and tattooing and piercing studios.",
5,Physical Objects,Other staple goods retail,"Includes baby care and maternity shops. Consumer staple goods are considered essential products. Does not include medical retailers or other staple goods retail covered in other physical objects e.g., supermarkets. ",
5,Physical Objects,Parking,Includes designated spaces for parking vehicles.,
5,Physical Objects,Parks,Includes publicly accessible parks.,
5,Physical Objects,Parliamentary buildings,"Includes parliamentary buildings, excludes general government buildings.",
5,Physical Objects,Personal devices,"Includes mobile phones, laptops etc.",
5,Physical Objects,Pharmacies,Includes pharmacies where medicines are prepared and sold/dispensed and basic health advice is offered.,
5,Physical Objects,Piers and boardwalks,Includes paths along a beach or raised platforms from the shore out over water.,
5,Physical Objects,Playgrounds (indoor),Includes indoor playgrounds and soft play facilities.,
5,Physical Objects,Playgrounds (outdoor),Includes outdoor playgrounds and play parks.,
5,Physical Objects,Police stations,"Includes buildings for police personnel and equipment, police stations, police offices and headquarters, traffic warden offices and transport police buildings.",
5,Physical Objects,Political offices,"Includes buildings where councillors, politicians and political parties work and engage with the public.",
5,Physical Objects,Post boxes,Includes places where mail/letters are deposited to be collected by the post service.,
5,Physical Objects,Post offices,"Places where stamps are sold, letters and parcels can be posted and collected, and a range of other services (e.g., road taxes and money transfer services) are often provided.",
5,Physical Objects,Potable water pipes,Includes pipes which transports potable water.,
5,Physical Objects,Power lines,Includes underground cables and overhead lines carrying electrical power.,
5,Physical Objects,"Power poles, towers, and converter stations","Includes infrastructure to support overhead power lines, converting and/or transferring electricity.",
5,Physical Objects,Power stations,"Includes power plants, substations, and incinerators. ",
5,Physical Objects,Prisons and jails,"Includes, prisons, jails and offenders institutes.",
5,Physical Objects,Private motor vehicles,Includes the mode of transport itself.,
5,Physical Objects,Public art,Includes outdoor public artwork and installations.,
5,Physical Objects,Public drinking water points,Includes publicly accessible drinking points.,
5,Physical Objects,Public information boards,"Includes public information boards, bike monitoring, transport timetables, clocks etc.",
5,Physical Objects,Public telephones,Includes publicly accessible telephones and emergency telephone points.,
5,Physical Objects,Public toilets,Includes publicly accessible toilets.,
5,Physical Objects,Publishing offices,"Includes publishers of newspapers, magazines and books in print or electronic formats and bookbinding services.",
5,Physical Objects,Rail signalling and switches,Includes switches and signalling systems for rail traffic management.,
5,Physical Objects,Real estate management offices,"Includes real estate agents, brokers, appraisers, management, leasing and operation of residential or commercial properties.",
5,Physical Objects,Recycling centres," Includes customer-facing recycling centres and industrial recycling sites, as well as scrap yard and materials recovery centres.",
5,Physical Objects,Registrar offices,"Includes government offices where civil marriages are performed, and births, marriages, and deaths are recorded.",
5,Physical Objects,Religious buildings,"Includes places of worship, missionaries, chaplaincies, convents and monasteries and religious administrative buildings.",
5,Physical Objects,Removal services,Includes home or business removal services. ,
5,Physical Objects,Research and consulting services,"Includes management consulting services, architectural design, research and development, and testing and certification services.",
5,Physical Objects,Reservoirs,Includes large natural or artificial lakes used as a water supply.,
5,Physical Objects,Residential gardens,Includes gardens attached to residential properties.,
5,Physical Objects,Residential properties,"Includes both private, social and rented residential housing, student accommodation, ambassador residential housing, and house boats.",
5,Physical Objects,Headquarters (other),"Includes online retailers, retail company offices and retail conglomerates. ",
5,Physical Objects,Rivers and streams,Includes natural flows of water.,
5,Physical Objects,Road traffic lights and signage,Includes traffic lights and signage for traffic management.,
5,Physical Objects,Roads (major) and railways,"Includes primary and major roads, and all types of railway (historic, funicular, high speed and monorail).",
5,Physical Objects,Roads (minor) and pathways,"Includes secondary roads, tertiary roads, residential roads, pedestrian and cycle paths.",
5,Physical Objects,Schools,Includes public and private primary and secondary schools.,
5,Physical Objects,Seas and tidal range,Includes tidal ranges and coastlines.,
5,Physical Objects,Security services,"Includes security and alarm services, armoured transportation and guarding services.",
5,Physical Objects,Self-storage,Includes self-service parcel lockers and storage facilities.,
5,Physical Objects,Sexual health clinics,Includes practices that specialise in sexual health and family planning.,
5,Physical Objects,Shopping centres,"Includes shopping centres, shopping malls and retail parks.",
5,Physical Objects,Smaller food markets,"Includes fishmongers, bakeries, butchers, convenience stores etc.",
5,Physical Objects,Social work offices,Includes offices of people working in social work and children's centres.,
5,Physical Objects,Sports and outdoor retail,"Includes retailers selling sport and outdoor goods such as bicycles, camping equipment, fitness equipment etc.",
5,Physical Objects,Sports clubhouses,Includes buildings where members of a sports club/association meet and where equipment is held.,
5,Physical Objects,Sports facilities (indoor),"Includes gyms, swimming pools, fitness and leisure centres, and indoor activity centres.",
5,Physical Objects,"Sports facilities (outdoor, impermeable)",Includes outdoor sports facilities with solid grounds.,
5,Physical Objects,"Sports facilities (outdoor, impermeable, with club)",Includes outdoor sports facilities with solid grounds with a sports clubhouse.,
5,Physical Objects,"Sports facilities (outdoor, permeable)","Includes outdoor sports facilities with permeable grounds (e.g., golf sites).",
5,Physical Objects,"Sports facilities (outdoor, permeable, with club)",Includes outdoor sports facilities with permeable grounds with a sports clubhouse.,
5,Physical Objects,Springs and wells,Includes springs and wells to obtain water.,
5,Physical Objects,Stables,Includes horse-riding stables and horse-riding centres.,
5,Physical Objects,Stormwater basins,Includes artificial water detention and retention basins.,
5,Physical Objects,Streetlights,Includes lampposts and other forms of street lighting.,
5,Physical Objects,Structural defences,"Includes dykes, dams, storm surge barriers etc.",
5,Physical Objects,Subway stations,"Includes subway stops for public transport, normally including a small convenience shop.",
5,Physical Objects,Subway trains,Includes the mode of transport itself.,
5,Physical Objects,Supermarkets,Includes stores that sell food and a wide range of consumer staple and discretionary products.,
5,Physical Objects,Surveillance cameras,"Includes closed circuit television (CCTV), traffic cameras, or other surveillance cameras. ",
5,Physical Objects,Takeaways ,Includes companies offering food collection or delivery services.,
5,Physical Objects,Taxi ranks,Includes designated places where taxis pick up passengers.,
5,Physical Objects,Taxis,Includes the mode of transport itself.,
5,Physical Objects,Telecommunications towers,Includes telecommunication towers and relay stations.,
5,Physical Objects,Telephone exchanges,Includes telecommunications exchanges used in the public switched telephone network or in large enterprises. ,
5,Physical Objects,Toll booths and weighbridges,"Includes toll booths, transport check points and weighbridges. ",
5,Physical Objects,Tourism offices,Includes tourist information offices and tourist boards.,
5,Physical Objects,Town squares,Includes open public space in an urban area used for community gatherings.,
5,Physical Objects,Traffic calming measures,"Includes speed bumps, speed tables, speed cameras and other traffic calming measures.",
5,Physical Objects,Train stations (major),Includes terminal rail stations with passenger facilities.,
5,Physical Objects,Train stations (minor),Includes designated train stops for passengers with fewer passenger facilities.,
5,Physical Objects,Training centres,Includes occupational training centres and private tuition centres. Excludes arts training centres which is included in creative spaces.,
5,Physical Objects,Trains,Includes the mode of transport itself.,
5,Physical Objects,Tram stops,"Includes designated tram stops for public transport, usually with a dedicated shelter.",
5,Physical Objects,Transport providers and control centres,"Includes logistics headquarters, traffic control centres (for all modes of transport), individual commercial operator offices (e.g. ScotRail or British Airways), and lighthouses.",
5,Physical Objects,Travel agencies,Includes travel agency offices.,
5,Physical Objects,Traveller sites,Includes residential areas for travellers.,
5,Physical Objects,Tunnels,"Includes tunnels and passageways through buildings, mountains or underground.",
5,Physical Objects,Union offices,Includes trade and labour offices.,
5,Physical Objects,Utility trades,"Includes electrical, plumbing or heating installation/maintenance trades.",
5,Physical Objects,Vehicle depots,"Includes councils depots, police garages, rail depots, yards and sidings, and other vehicle depots.",
5,Physical Objects,Vehicle impounds,Includes holding places for vehicles that have been towed and waiting collection from the owner.,
5,Physical Objects,Vehicle maintenance services,"Includes companies that repair or services vehicles, car washes and fuel stations.",
5,Physical Objects,Vehicle rental services,Includes companies that rent out vehicles.,
5,Physical Objects,Vehicle sharing points,Includes bike rental points and car sharing services.,
5,Physical Objects,Veterinary practices,Includes veterinarian practices and veterinary colleges.,
5,Physical Objects,Waste collection service offices,Includes buildings for waste collection personnel and administrative offices.,
5,Physical Objects,Waste sorting centres,Includes buildings where waste is received and sorted before going to landfill or recycling.,
5,Physical Objects,Wastewater pipes,Includes pipes which transport wastewater.,
5,Physical Objects,Wastewater pumping stations,Includes wastewater pumping stations.,
5,Physical Objects,Wastewater tanks,Includes wastewater tanks and sanitary dumps.,
5,Physical Objects,Wastewater treatment works,Includes wastewater treatment works and facilities.,
5,Physical Objects,Water provider offices,Includes national water and sewerage service companies.,
5,Physical Objects,Water pumping stations,Includes water pumping stations.,
5,Physical Objects,Water tanks and towers,Includes water storage towers and tanks.,
5,Physical Objects,Water treatment works,Includes water treatment works and facilities.,
5,Physical Objects,Wetlands,Includes wetlands and wetland tidal flats.,
5,Physical Objects,Wholesale retail,"Includes retailers selling industry bulk goods, wholesale goods and builders merchant.",
5,Physical Objects,Wildlife,Includes all wild animals collectively.,
5,Physical Objects,Zoos,"Includes zoological gardens for study, conservation, or display to the public.",
